Date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AEP,AMGN,AMZN,AON,APD,AVGO,BA,BDX,BLK,BMY,BRK-B,CAT,CB,CCI,CI,CL,CMCSA,CME,COST,CRM,CSCO,CVX,D,DE,DHR,DUK,ELV,EMR,EOG,F,FDX,GD,GILD,GM,GOOGL,GS,HD,HON,ICE,INTC,ISRG,ITW,JNJ,JPM,KMB,KO,LIN,LLY,LOW,MA,MCD,MCK,MDLZ,META,MMC,MO,MRK,MSFT,NEE,NKE,NSC,NVDA,PEP,PG,PLD,PM,PNC,PSX,PYPL,QCOM,REGN,RTX,SCHW,SHW,SLB,SO,SPGI,SYK,TJX,TMO,TROW,TXN,UNH,UNP,UPS,USB,V,VRTX,VZ,WM,WMT,XOM,ZTS
2018-01-02,40.30418014526367,69.34370422363281,50.822933197021484,136.7078094482422,177.6999969482422,77.602294921875,97.9428482055664,54.101383209228516,137.77513122558594,59.45050048828125,122.65927124023438,136.24139404296875,21.130895614624023,282.886474609375,147.37901306152344,414.3572998046875,45.55109786987305,197.22000122070312,131.54383850097656,123.97184753417969,77.845703125,184.17062377929688,61.736045837402344,31.178979873657227,107.44204711914062,168.72840881347656,103.15662384033203,30.43355369567871,89.4523696899414,55.657325744628906,140.24668884277344,78.95355987548828,59.49822235107422,202.3094940185547,58.181610107421875,81.04901885986328,8.174581527709961,223.6631317138672,166.5133514404297,54.85378646850586,36.64651870727539,53.22063446044922,213.14425659179688,154.8211212158203,117.08692932128906,63.05714797973633,39.330387115478516,125.08333587646484,136.21820068359375,110.76419830322266,86.34088897705078,88.86286926269531,35.49273681640625,137.73345947265625,75.02672576904297,78.6984634399414,145.05816650390625,142.7815704345703,149.18516540527344,34.99935531616211,180.1614990234375,70.32392120361328,38.985321044921875,41.90156555175781,78.87034606933594,31.563589096069336,56.926700592041016,124.96759033203125,4.928533554077148,91.60279083251953,72.82498931884766,51.270606994628906,68.7715072631836,108.78197479248047,73.83668518066406,73.44731903076172,52.6140251159668,380.0326232910156,66.64506530761719,46.00039291381836,128.15704345703125,54.936553955078125,33.68927001953125,156.36056518554688,144.87608337402344,34.23371887207031,188.94195556640625,76.1746826171875,84.3541488647461,193.09048461914062,113.27182006835938,89.84111022949219,39.41921615600586,108.11189270019531,152.91000366210938,34.22001647949219,75.05436706542969,28.914417266845703,58.580413818359375,67.10477447509766
2018-01-03,40.29714584350586,70.42884826660156,50.93532180786133,137.3387908935547,181.0399932861328,78.56502532958984,99.0068359375,53.64561080932617,140.37496948242188,60.209999084472656,124.6182632446289,136.98223876953125,21.361980438232422,283.8012390136719,148.83358764648438,418.7290954589844,45.5882453918457,199.7899932861328,131.74488830566406,124.94754028320312,77.5169677734375,187.26197814941406,61.4977912902832,30.677936553955078,109.16362762451172,170.75326538085938,104.02605438232422,30.676326751708984,90.10441589355469,53.51508331298828,140.8857421875,80.0041275024414,59.3123664855957,205.1292266845703,58.716217041015625,82.25769805908203,8.239155769348145,226.45892333984375,167.551513671875,55.26832580566406,37.5407600402832,54.12862777709961,211.16009521484375,155.62802124023438,116.11954498291016,64.01404571533203,37.99559020996094,127.94000244140625,136.7869110107422,111.82221984863281,86.42888641357422,87.37770080566406,35.414794921875,138.88858032226562,75.43427276611328,79.04202270507812,146.8819580078125,142.17982482910156,147.08348083496094,35.13965606689453,183.3889923095703,71.2423324584961,38.84202194213867,41.841949462890625,79.2374038696289,30.894020080566406,56.91773986816406,124.97612762451172,5.252899646759033,91.36225891113281,72.73661041259766,51.17448043823242,68.6858901977539,108.75941467285156,74.33016967773438,76.34184265136719,53.211181640625,391.1376037597656,67.62268829345703,46.071937561035156,128.67132568359375,56.36686325073242,33.49644088745117,158.8717041015625,145.6926727294922,33.617706298828125,192.40789794921875,77.21663665771484,86.63939666748047,195.11598205566406,113.90586853027344,91.83160400390625,39.80588912963867,109.1882095336914,152.00999450683594,33.51683044433594,76.14400482177734,29.16663360595703,59.73093795776367,67.41331481933594
2018-01-04,40.484336853027344,70.02720642089844,50.848876953125,138.96498107910156,183.22000122070312,78.47905731201172,99.95254516601562,53.010528564453125,139.78343200683594,60.47949981689453,126.32527160644531,137.5090789794922,21.369102478027344,282.724365234375,149.51011657714844,424.2567138671875,46.17903518676758,200.69000244140625,133.55418395996094,125.45283508300781,76.61651611328125,188.2439422607422,61.89214324951172,30.87531852722168,110.32865142822266,169.42721557617188,105.39937591552734,30.76313591003418,89.82396697998047,53.2654914855957,141.6934051513672,80.38846588134766,58.847686767578125,206.078125,58.79851531982422,82.27249908447266,8.381207466125488,229.98411560058594,170.43344116210938,54.70573425292969,38.69802474975586,54.338890075683594,214.11129760742188,156.86309814453125,117.6886978149414,65.2237777709961,37.29880905151367,125.63999938964844,136.9434814453125,111.8143081665039,87.66705322265625,88.38521575927734,35.913604736328125,141.06674194335938,75.77095031738281,79.66049194335938,148.7822265625,143.1771240234375,145.48841857910156,35.22219467163086,183.0513153076172,71.9858169555664,38.68771743774414,42.52017593383789,79.9347915649414,30.735280990600586,56.88186264038086,125.32471466064453,5.280588150024414,91.81230163574219,73.25079345703125,50.14923095703125,68.16542053222656,108.76693725585938,74.12698364257812,76.32195281982422,53.2838020324707,380.3802795410156,67.83589172363281,46.33127975463867,127.97122192382812,57.76557159423828,33.35359573364258,161.252685546875,145.64678955078125,33.67127227783203,194.81642150878906,77.82261657714844,86.52751922607422,195.962890625,113.28853607177734,92.42733001708984,40.11232376098633,109.59420776367188,153.07000732421875,33.62550735473633,76.79779052734375,29.193029403686523,59.81362533569336,67.81536865234375
2018-01-05,40.94526290893555,71.24623107910156,50.99583435058594,140.11131286621094,185.33999633789062,78.79708862304688,99.8934555053711,52.89846420288086,140.61630249023438,61.457000732421875,127.3980941772461,138.66148376464844,21.495729446411133,294.32232666015625,150.24754333496094,427.8714904785156,46.283729553222656,201.4199981689453,135.6650848388672,125.67938232421875,77.2025375366211,191.435302734375,61.96609878540039,31.156206130981445,111.0484390258789,168.2176513671875,106.80232238769531,31.189189910888672,89.67672729492188,53.272422790527344,142.2969970703125,80.89239501953125,58.57603454589844,209.7752227783203,59.571632385253906,83.17718505859375,8.523262023925781,230.88710021972656,170.0098876953125,55.16469192504883,38.58404541015625,55.05944061279297,213.01918029785156,158.50160217285156,118.51138305664062,65.76538848876953,37.559051513671875,126.336669921875,136.84454345703125,112.73716735839844,87.10424041748047,88.19117736816406,35.905799865722656,142.30126953125,76.70127868652344,81.37842559814453,151.86656188964844,143.4656982421875,147.4587860107422,35.676082611083984,185.55386352539062,72.484375,38.79795455932617,42.4754638671875,80.92584991455078,30.875701904296875,57.36604309082031,127.78221893310547,5.325336933135986,92.07609558105469,73.29895782470703,50.109195709228516,68.71221923828125,108.9023666381836,74.13423919677734,78.2814712524414,53.63886642456055,382.5158386230469,68.41831970214844,46.51011276245117,130.62295532226562,58.16065979003906,33.41072082519531,163.4103546142578,147.7754364013672,34.43906784057617,198.15504455566406,79.24144744873047,87.19071197509766,199.69964599609375,114.73171997070312,92.71063232421875,40.36037826538086,112.2188491821289,155.69000244140625,33.54879379272461,76.70186614990234,29.366069793701172,59.76538848876953,68.59141540527344
2018-01-08,40.793182373046875,70.1047134399414,50.848876953125,141.2310028076172,185.0399932861328,78.93464660644531,99.5894546508789,53.3616828918457,140.57737731933594,62.34349822998047,127.40743255615234,138.80967712402344,21.54716682434082,295.5707092285156,149.78750610351562,431.0627136230469,46.29869842529297,202.74000549316406,139.0742950439453,125.04340362548828,77.4312515258789,189.31678771972656,62.056495666503906,30.731069564819336,112.59190368652344,168.87168884277344,107.5531997680664,31.512666702270508,90.11846923828125,54.090511322021484,142.9981689453125,81.35362243652344,58.76190948486328,207.5194091796875,59.382442474365234,83.57759857177734,8.49097728729248,233.2660675048828,170.0098876953125,55.07585906982422,38.768165588378906,55.25382995605469,209.92628479003906,158.12283325195312,117.87156677246094,66.00914764404297,37.559051513671875,130.6199951171875,138.11392211914062,112.88030242919922,87.23284912109375,89.13152313232422,35.85123825073242,142.24838256835938,76.3114242553711,80.49369812011719,152.3256378173828,143.3667755126953,149.32589721679688,35.49452590942383,186.9739532470703,71.71466827392578,38.74833679199219,42.22950744628906,81.00843048095703,31.130104064941406,57.87713623046875,129.73802185058594,5.4885101318359375,91.54847717285156,73.68458557128906,50.69389343261719,68.6068115234375,109.10543060302734,74.0616683959961,78.6296157836914,53.477474212646484,370.0202331542969,69.06832122802734,46.71579360961914,131.34783935546875,59.10895919799805,33.710693359375,164.78680419921875,149.7939910888672,33.76948165893555,198.47817993164062,81.19977569580078,87.60621643066406,196.23355102539062,116.32512664794922,93.83662414550781,40.418739318847656,112.67205047607422,156.88999938964844,33.49126052856445,76.75419616699219,29.800125122070312,60.03407287597656,69.41419219970703
2018-01-09,40.78849411010742,70.63320922851562,50.93532180786133,141.7019500732422,186.6999969482422,78.77133178710938,100.28189086914062,52.734092712402344,142.74131774902344,62.6349983215332,127.72460174560547,139.16363525390625,21.24881362915039,303.4615478515625,153.1837921142578,434.6855163574219,46.25382995605469,203.02000427246094,139.4093475341797,127.06459045410156,76.9524154663086,188.99859619140625,62.1468391418457,30.82977867126465,113.25975036621094,166.90953063964844,107.83972930908203,31.315420150756836,89.6346664428711,53.52892303466797,146.98341369628906,84.223388671875,58.07561492919922,210.06167602539062,59.48114776611328,82.83609008789062,8.445777893066406,232.4759521484375,170.9899139404297,57.814849853515625,38.619117736816406,55.18340301513672,211.70201110839844,158.9956817626953,118.8389663696289,66.84868621826172,36.61880111694336,132.53334045410156,139.17713928222656,114.67033386230469,87.67506408691406,87.16873931884766,36.03049850463867,143.63287353515625,76.2493896484375,81.2152328491211,152.54554748535156,143.04530334472656,150.72396850585938,35.47801208496094,186.56674194335938,71.71466827392578,38.34053039550781,42.33384704589844,80.95337677001953,30.902164459228516,57.46466827392578,130.61387634277344,5.487026214599609,91.61831665039062,73.14634704589844,50.18126678466797,69.10092163085938,111.1889877319336,73.81495666503906,78.76886749267578,52.67051696777344,366.1762390136719,69.82234191894531,47.699459075927734,131.4129180908203,59.1879768371582,33.2893180847168,164.8426971435547,147.5185089111328,33.70252227783203,201.7874755859375,82.5816879272461,88.20549011230469,197.2113800048828,117.62653350830078,93.79305267333984,40.695987701416016,112.45491027832031,156.00999450683594,33.36841583251953,76.44038391113281,29.442323684692383,59.77918243408203,70.2276611328125
2018-01-10,40.77913284301758,70.24565124511719,50.85752487182617,141.20433044433594,187.11000061035156,77.45616912841797,99.34459686279297,51.92717361450195,142.3365478515625,62.71649932861328,127.48200988769531,138.5791778564453,20.800092697143555,305.2055358886719,151.92538452148438,432.756103515625,46.373477935791016,205.61000061035156,138.9402618408203,126.57670593261719,74.97999572753906,188.28941345214844,61.4731330871582,31.194164276123047,113.46013641357422,166.1300506591797,107.49392700195312,31.48900032043457,90.20963287353516,52.835628509521484,146.3976593017578,83.90739440917969,57.26784133911133,209.3723907470703,59.70320129394531,83.05855560302734,8.413495063781738,232.70169067382812,170.0513916015625,58.26642608642578,37.698577880859375,55.0519905090332,212.02713012695312,157.92527770996094,119.66161346435547,67.21882629394531,35.67858123779297,141.25332641601562,137.8996124267578,114.53509521484375,88.63983917236328,85.79551696777344,35.905799865722656,143.40359497070312,76.28485107421875,80.88883209228516,152.88990783691406,143.0205841064453,150.75205993652344,35.18092346191406,186.53695678710938,70.98867797851562,38.737327575683594,42.706520080566406,80.58633422851562,30.647764205932617,57.581233978271484,128.9216766357422,5.530043601989746,91.15277099609375,72.68036651611328,49.21208190917969,69.5884017944336,112.54293060302734,74.076171875,78.94791412353516,52.662452697753906,364.00091552734375,70.14994812011719,47.896202087402344,129.96316528320312,59.74113464355469,32.825077056884766,163.32669067382812,146.3808135986328,34.04624557495117,201.9734344482422,82.96598052978516,87.65415954589844,195.74459838867188,116.54200744628906,94.28702545166016,41.002418518066406,112.33216857910156,157.3800048828125,33.42013168334961,76.07426452636719,29.231159210205078,59.303810119628906,69.10566711425781
2018-01-11,41.010772705078125,70.45143127441406,51.20497131347656,141.39093017578125,188.9199981689453,78.3844985961914,98.94773864746094,51.35186004638672,141.63600158691406,63.83399963378906,126.18541717529297,139.9126739501953,20.853120803833008,312.69598388671875,152.77780151367188,437.9257507324219,46.71748733520508,206.69000244140625,141.72962951660156,125.88848114013672,74.10101318359375,191.744384765625,61.25130081176758,32.340511322021484,113.3933334350586,169.67808532714844,107.79031372070312,31.63890838623047,92.95108795166016,52.835628509521484,148.6343536376953,84.20633697509766,56.67448043823242,210.36602783203125,60.76418685913086,85.37952423095703,8.497432708740234,235.4627227783203,170.68260192871094,58.525508880615234,38.741844177246094,55.14671325683594,212.694091796875,160.29661560058594,120.29386138916016,67.14661407470703,36.44252014160156,140.4566650390625,139.29249572753906,115.1874008178711,89.11420440673828,84.10887908935547,35.882415771484375,144.45306396484375,76.5417709350586,82.23737335205078,153.9036865234375,142.92164611816406,152.2814483642578,35.08188247680664,186.4674530029297,70.86620330810547,38.737327575683594,42.93010330200195,80.82491302490234,30.629457473754883,57.64399719238281,130.9795379638672,5.539933204650879,90.68721008300781,72.4233169555664,49.38029098510742,69.08113861083984,113.94953918457031,74.2866439819336,79.32588958740234,52.799625396728516,365.7888488769531,70.19676208496094,48.44169998168945,131.76918029785156,60.8869514465332,32.3179817199707,164.0614471435547,145.51837158203125,34.318538665771484,204.29391479492188,83.54975891113281,88.42920684814453,196.78359985351562,117.08428955078125,96.95314025878906,41.35260009765625,113.14410400390625,158.39999389648438,33.69169235229492,76.86751556396484,29.33380699157715,59.889404296875,69.741455078125
2018-01-12,41.43426513671875,71.21082305908203,51.10940933227539,142.2795867919922,195.0500030517578,79.09793090820312,100.03700256347656,50.402976989746094,144.03346252441406,65.26000213623047,127.37946319580078,140.06088256835938,20.915634155273438,320.40570068359375,154.05650329589844,452.2621765136719,46.97174835205078,210.16000366210938,142.65101623535156,126.88164520263672,74.01524353027344,194.01747131347656,61.30878829956055,32.21903991699219,113.333984375,171.88214111328125,108.91663360595703,32.246437072753906,93.67325592041016,52.648460388183594,150.26747131347656,84.88961029052734,56.40285110473633,214.6807861328125,60.78888702392578,85.79478454589844,8.542633056640625,236.03578186035156,174.90171813964844,58.495906829833984,38.63665008544922,56.069087982177734,214.2779998779297,161.729248046875,121.16989135742188,67.50770568847656,36.2998046875,139.67999267578125,140.54534912109375,115.95909881591797,90.58549499511719,84.3178482055664,35.96814727783203,144.7527618408203,77.06452178955078,86.63529968261719,155.25218200683594,143.07005310058594,155.9876251220703,35.04887771606445,178.125732421875,71.49600219726562,38.362579345703125,43.72014617919922,82.21974182128906,30.59282684326172,57.98470687866211,131.2431640625,5.5127387046813965,91.07518768310547,71.98948669433594,49.540489196777344,68.84398651123047,114.21279907226562,76.17334747314453,80.11168670654297,52.7592887878418,364.49755859375,71.02355194091797,49.532711029052734,134.08631896972656,61.61397933959961,32.025169372558594,165.21469116210938,145.1788787841797,34.94348907470703,205.77230834960938,85.24202728271484,90.06724548339844,199.62107849121094,117.76834869384766,97.4107894897461,41.57148361206055,113.38013458251953,157.92999267578125,33.53004837036133,76.9459457397461,29.583097457885742,60.295867919921875,70.48944854736328
2018-01-16,41.22367858886719,72.73666381835938,50.7619514465332,140.36900329589844,192.4600067138672,80.02629089355469,100.81385040283203,50.432865142822266,144.42262268066406,65.24299621582031,125.50440216064453,137.2621307373047,20.833335876464844,319.40509033203125,154.6180419921875,458.3434753417969,44.810489654541016,210.2899932861328,141.82174682617188,126.90779113769531,75.26587677001953,195.25396728515625,61.96609878540039,31.748355865478516,112.94064331054688,171.60446166992188,107.58283996582031,31.98607635498047,92.55846405029297,52.18394470214844,148.705322265625,84.95791625976562,56.05972671508789,216.40843200683594,59.90060806274414,84.20413208007812,8.45869255065918,234.06480407714844,171.36366271972656,59.406436920166016,38.741844177246094,56.07156753540039,215.4701690673828,161.63876342773438,120.27100372314453,67.32716369628906,36.21585464477539,140.02333068847656,139.47389221191406,116.83418273925781,90.2638931274414,85.27313232421875,36.26431655883789,142.94503784179688,75.56716918945312,86.72978210449219,155.21395874023438,143.16073608398438,160.12545776367188,35.47801208496094,177.1525421142578,71.07613372802734,37.98230743408203,46.261661529541016,81.07267761230469,30.637584686279297,56.863948822021484,130.1036376953125,5.4417829513549805,91.4476089477539,72.47953796386719,49.772769927978516,69.0877456665039,115.09723663330078,75.10660552978516,79.99232482910156,55.07526779174805,367.7257385253906,69.66632843017578,49.65787887573242,131.30758666992188,60.98179626464844,31.896595001220703,163.5312957763672,146.3165740966797,34.189083099365234,203.65748596191406,84.59175109863281,90.22705078125,203.34046936035156,117.05088806152344,96.53178405761719,41.71009826660156,113.66336059570312,155.7100067138672,33.40073776245117,76.8500747680664,29.530303955078125,59.91695022583008,70.62970733642578
