public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,divyield_Median,pe_exi_Median,ptb_Median,gpm_Median,roa_Median,roe_Median
20100630,Industrials,543,-0.073052,-0.069165,0.031,0.613,1.89%,12.477,1.466,0.283,0.108,0.062
20100630,Information Technology,720,-0.062709,-0.061183,0.000,0.486,2.06%,10.273,1.856,0.498,0.084,0.034
20100630,Materials,191,-0.097672,-0.076771,0.148,0.541,2.10%,11.748,1.685,0.264,0.111,0.065
20100630,Telecommunication Services,50,-0.019145,-0.007362,0.275,0.531,6.89%,8.213,1.803,0.579,0.151,0.028
20100630,Utilities,103,-0.012120,-0.008939,0.617,0.906,4.47%,12.819,1.042,0.255,0.088,0.070
20100731,Consumer Discretionary,574,0.071947,0.079800,0.000,0.514,1.95%,11.993,1.610,0.364,0.126,0.070
20100731,Consumer Staples,164,0.073748,0.062435,0.162,0.509,2.65%,12.578,1.769,0.344,0.154,0.128
20100731,Energy,213,0.081016,0.079570,0.000,0.690,1.12%,7.121,1.379,0.369,0.098,0.027
20100731,Financials,758,0.032416,0.062554,0.457,1.078,2.43%,8.039,0.899,0.429,0.015,0.038
20100731,Health Care,580,0.027755,0.011731,0.000,0.369,1.78%,-1.189,2.475,0.411,0.050,0.001
20100731,Industrials,541,0.073947,0.097971,0.043,0.605,1.75%,13.790,1.539,0.283,0.107,0.062
20100731,Information Technology,716,0.059729,0.074970,0.000,0.480,1.88%,11.940,1.951,0.498,0.085,0.036
20100731,Materials,192,0.099900,0.120974,0.149,0.544,1.96%,13.504,1.782,0.262,0.117,0.081
20100731,Telecommunication Services,50,0.085437,0.092621,0.275,0.531,6.64%,9.019,1.842,0.579,0.151,0.028
20100731,Utilities,103,0.054094,0.072777,0.617,0.905,4.28%,13.704,1.100,0.255,0.088,0.070
20100831,Consumer Discretionary,570,-0.089043,-0.045103,0.000,0.571,2.23%,10.703,1.524,0.364,0.130,0.085
20100831,Consumer Staples,165,-0.056528,-0.016041,0.148,0.588,2.73%,12.563,1.587,0.350,0.154,0.127
20100831,Energy,214,-0.069724,-0.039981,0.000,0.761,1.28%,7.010,1.270,0.374,0.108,0.037
20100831,Financials,759,-0.072853,-0.084926,0.430,1.172,2.60%,8.670,0.814,0.452,0.016,0.040
20100831,Health Care,580,-0.056708,-0.020563,0.000,0.413,1.90%,-1.346,2.268,0.415,0.057,-0.008
20100831,Industrials,541,-0.081680,-0.074317,0.047,0.658,1.88%,12.485,1.408,0.292,0.111,0.070
20100831,Information Technology,715,-0.058174,-0.066812,0.000,0.540,2.00%,12.169,1.772,0.501,0.096,0.049
20100831,Materials,191,-0.036883,-0.014109,0.127,0.594,2.07%,12.136,1.668,0.261,0.125,0.090
20100831,Telecommunication Services,49,-0.070637,0.013644,0.228,0.553,6.77%,8.901,1.850,0.582,0.146,0.033
20100831,Utilities,104,-0.004293,0.009848,0.616,0.965,4.29%,13.827,1.079,0.259,0.090,0.068
20100930,Consumer Discretionary,568,0.131479,0.125049,0.000,0.608,2.03%,11.962,1.663,0.366,0.131,0.087
20100930,Consumer Staples,165,0.062032,0.058299,0.150,0.591,2.64%,13.239,1.656,0.354,0.154,0.127
20100930,Energy,213,0.127966,0.092916,0.000,0.765,1.13%,8.208,1.404,0.399,0.109,0.041
20100930,Financials,758,0.055519,0.065805,0.429,1.172,2.49%,9.224,0.861,0.454,0.016,0.040
20100930,Health Care,573,0.113934,0.097157,0.000,0.417,1.81%,-1.395,2.510,0.414,0.058,-0.005
20100930,Industrials,544,0.111125,0.118729,0.045,0.671,1.69%,13.889,1.544,0.292,0.112,0.070
