None,region_id,region_type,region
7860,895,county,"Broome County;NY;Binghamton, NY"
7930,894,county,Brooks County;TX;nan
8017,893,county,"Brooks County;GA;Valdosta, GA"
8107,892,county,"Brooke County;WV;Weirton-Steubenville, WV-OH"
8187,891,county,"Bremer County;IA;Waterloo-Cedar Falls, IA"
8264,890,county,"Brazos County;TX;College Station-Bryan, TX"
8265,89,county,Lee County;VA;nan
8325,889,county,"Branch County;MI;Coldwater, MI"
8396,888,county,Bowman County;ND;nan
8483,887,county,Bosque County;TX;nan
8616,885,county,"Bonner County;ID;Sandpoint, ID"
8692,884,county,"Blount County;TN;Knoxville, TN"
8779,883,county,"Blount County;AL;Birmingham-Hoover, AL"
8879,882,county,Blanco County;TX;nan
8974,881,county,Blaine County;OK;nan
9073,88,county,Lee County;TX;nan
9168,879,county,Blaine County;MT;nan
9256,878,county,"Blaine County;ID;Hailey, ID"
9354,877,county,Bladen County;NC;nan
9539,875,county,Bertie County;NC;nan
9638,874,county,"Bergen County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
9737,873,county,"Benzie County;MI;Traverse City, MI"
9818,872,county,"Benton County;WA;Kennewick-Richland, WA"
9905,871,county,Benton County;TN;nan
9999,870,county,"Benton County;OR;Corvallis, OR"
10000,87,county,Lee County;SC;nan
10098,869,county,Benton County;MS;nan
10196,868,county,Benton County;MO;nan
10280,867,county,"Benton County;MN;St. Cloud, MN"
10373,866,county,"Benton County;IN;Lafayette-West Lafayette, IN"
10475,865,county,"Benton County;IA;Cedar Rapids, IA"
10548,864,county,"Benton County;AR;Fayetteville-Springdale-Rogers, AR"
10642,863,county,Benson County;ND;nan
10734,862,county,Becker County;MN;nan
10825,861,county,Beaver County;UT;nan
10915,860,county,"Beaver County;PA;Pittsburgh, PA"
10916,86,county,"Lee County;NC;Sanford, NC"
10990,859,county,Beaver County;OK;nan
11081,858,county,"Beadle County;SD;Huron, SD"
11176,857,county,Baylor County;TX;nan
11239,856,county,"Baxter County;AR;Mountain Home, AR"
11336,855,county,"Bartow County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
11434,854,county,Barton County;MO;nan
11529,853,county,"Barton County;KS;Great Bend, KS"
11630,852,county,"Barrow County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
11722,851,county,Barron County;WI;nan
11804,850,county,"Barren County;KY;Glasgow, KY"
11805,85,county,"Lee County;MS;Tupelo, MS"
11908,849,county,Barnes County;ND;nan
11998,848,county,Barber County;KS;nan
12097,847,county,Baraga County;MI;nan
12169,846,county,"Banner County;NE;Scottsbluff, NE"
12280,845,county,Bailey County;TX;nan
12367,844,county,"Austin County;TX;Houston-The Woodlands-Sugar Land, TX"
12543,842,county,Attala County;MS;nan
12623,841,county,"Athens County;OH;Athens, OH"
12711,840,county,"Asotin County;WA;Lewiston, ID-WA"
12712,84,county,Lee County;KY;nan
12775,839,county,Ashley County;AR;nan
12851,838,county,Arthur County; NE
12960,836,county,Arenac County;MI;nan
13021,835,county,"Archer County;TX;Wichita Falls, TX"
13100,834,county,Apache County;AZ;nan
13139,833,county,Antrim County;MI;nan
13234,832,county,"Andrew County;MO;St. Joseph, MO-KS"
14280,830,county,"Amelia County;VA;Richmond, VA"
14281,83,county,"Lee County;IL;Dixon, IL"
14923,829,county,Amador County;CA;nan
15036,828,county,Alpine County;CA;nan
15445,827,county,"Alpena County;MI;Alpena, MI"
15993,826,county,"Alcorn County;MS;Corinth, MS"
16096,825,county,Alcona County;MI;nan
16192,824,county,"Albany County;WY;Laramie, WY"
16228,823,county,"Albany County;NY;Albany-Schenectady-Troy, NY"
16356,822,county,Aitkin County;MN;nan
17166,820,county,"Acadia Parish;LA;Lafayette, LA"
17167,82,county,"Lee County;IA;Fort Madison-Keokuk, IA-IL-MO"
17335,819,county,Young County;TX;nan
17538,818,county,"Yazoo County;MS;Jackson, MS"
18826,816,county,"Yates County;NY;Rochester, NY"
18923,815,county,Wythe County;VA;nan
19358,814,county,Worth County;MO;nan
19741,813,county,"Worth County;IA;Mason City, IA"
19957,812,county,"Worth County;GA;Albany, GA"
20226,811,county,Woods County;OK;nan
20817,810,county,Wolfe County;KY;nan
20818,81,county,"Lee County;GA;Albany, GA"
21504,809,county,White County;TN;nan
21904,808,county,White County;IN;nan
22305,807,county,White County;IL;nan
22977,806,county,White County;GA;nan
23266,805,county,"White County;AR;Searcy, AR"
23564,804,county,Wells County;ND;nan
23680,803,county,"Wells County;IN;Bluffton, IN"
23771,802,county,"Weber County;UT;Ogden-Clearfield, UT"
23877,801,county,"Wayne County;WV;Huntington-Ashland, WV-KY-OH"
23987,800,county,Wayne County;UT;nan
23988,80,county,"Lee County;FL;Cape Coral-Fort Myers, FL"
24083,799,county,Wayne County;TN;nan
24179,798,county,Wayne County;PA;nan
24264,797,county,"Wayne County;OH;Wooster, OH"
24362,796,county,"Wayne County;NY;Rochester, NY"
24458,795,county,Wayne County;NE;nan
24538,794,county,"Wayne County;NC;Goldsboro, NC"
24628,793,county,Wayne County;MS;nan
24719,792,county,Wayne County;MO;nan
24791,791,county,"Wayne County;MI;Detroit-Warren-Dearborn, MI"
24889,790,county,Wayne County;KY;nan
24890,79,county,Lee County;AR;nan
24980,789,county,"Wayne County;IN;Richmond, IN"
25078,788,county,Wayne County;IL;nan
25151,787,county,Wayne County;IA;nan
25341,786,county,"Wayne County;GA;Jesup, GA"
25438,785,county,"Wasco County;OR;The Dalles, OR"
25531,784,county,Walsh County;ND;nan
25606,783,county,Waldo County;ME;nan
25702,782,county,Vilas County;WI;nan
25805,781,county,"Vance County;NC;Henderson, NC"
25888,780,county,Upton County;TX;nan
25889,78,county,"Lee County;AL;Auburn-Opelika, AL"
25992,779,county,"Upson County;GA;Thomaston, GA"
26095,778,county,"Union County;TN;Knoxville, TN"
26197,777,county,"Union County;SD;Sioux City, IA-NE-SD"
26315,776,county,"Union County;SC;Union, SC"
26429,775,county,"Union County;PA;Lewisburg, PA"
26520,774,county,"Union County;OR;La Grande, OR"
26615,773,county,"Union County;OH;Columbus, OH"
26700,772,county,Union County;NM;nan
26789,771,county,"Union County;NJ;New York-Newark-Jersey City, NY-NJ-PA"
26870,770,county,"Union County;NC;Charlotte-Concord-Gastonia, NC-SC"
26871,77,county,"Lea County;NM;Hobbs, NM"
26962,769,county,Union County;MS;nan
27058,768,county,"Union Parish;LA;Monroe, LA"
27141,767,county,Union County;KY;nan
27230,766,county,"Union County;IN;Cincinnati, OH-KY-IN"
27320,765,county,Union County;IL;nan
27766,764,county,Union County;IA;nan
28810,763,county,Union County;GA;nan
29868,762,county,Union County;FL;nan
30925,761,county,"Union County;AR;El Dorado, AR"
31104,760,county,"Uinta County;WY;Evanston, WY"
31105,76,county,"Kay County;OK;Ponca City, OK"
31184,759,county,Tyler County;WV;nan
31268,758,county,Tyler County;TX;nan
31317,757,county,"Tulsa County;OK;Tulsa, OK"
31384,756,county,"Troup County;GA;LaGrange, GA-AL"
31461,755,county,Tripp County;SD;nan
31548,754,county,"Trigg County;KY;Clarksville, TN-KY"
31796,753,county,Trego County;KS;nan
31868,752,county,Towns County;GA;nan
31947,751,county,Toole County;MT;nan
32032,750,county,"Titus County;TX;Mount Pleasant, TX"
32033,75,county,Jay County;IN;nan
32118,749,county,Tioga County;PA;nan
32221,748,county,"Tioga County;NY;Binghamton, NY"
32306,747,county,"Texas County;OK;Guymon, OK"
32368,746,county,Texas County;MO;nan
32452,745,county,"Teton County;WY;Jackson, WY-ID"
32539,744,county,Teton County;MT;nan
32626,743,county,"Teton County;ID;Jackson, WY-ID"
32701,742,county,Terry County;TX;nan
32787,741,county,"Taney County;MO;Branson, MO"
32867,740,county,Swift County;MN;nan
32868,74,county,Ida County;IA;nan
32942,739,county,"Swain County;NC;Cullowhee, NC"
33119,738,county,Surry County;VA;nan
33388,737,county,"Surry County;NC;Mount Airy, NC"
33476,736,county,Sully County;SD;nan
33573,735,county,"Story County;IA;Ames, IA"
33625,734,county,"Stone County;MS;Gulfport-Biloxi, MS"
33714,733,county,Stone County;MO;nan
33792,732,county,Stone County;AR;nan
33873,731,county,"Starr County;TX;Rio Grande City-Roma, TX"
